基金名稱,類型,幣別,群益金鼎證券,兆豐證券,國泰證券,永豐金證券,康和證券,好好證券,元大證券,容海投顧,華南永昌證券,遠智證券,鉅亨投顧,新光投信,宏利投信,基富通證券,凱基證券,台銀證券,統一證券,台新證券,安睿宏觀投顧,富邦證券,日盛證券,元富證券,合庫證券,中租投顧,台新投信,柏瑞投信,核聚投顧
野村環球時機多重資產,後收月配,新臺幣,●,88348189D,X,●,X,●,●,X,●,X,●,X,X,●,10273,X,A08B003D,X,●,●,X,FD65034,X,●,X,X,X
野村環球時機多重資產,後收月配,美元,●,88348189I,X,●,X,●,●,X,●,X,●,X,X,●,10275,X,A08B003I,X,●,●,X,FD65036,X,●,X,X,X
野村策略轉機多重資產,前收累積,新臺幣,●,93100172A,X,●,X,●,WMF004753,X,●,X,A32273,X,X,NOM137,10276,X,●,X,●,●,X,●,X,32110,X,X,X
野村策略轉機多重資產,前收累積,美元,●,93100172F,X,●,X,●,WMF004757,X,●,X,A32275,X,X,NOM139,10278,X,●,X,●,●,X,●,X,32112,X,X,X
野村策略轉機多重資產,前收月配,新臺幣,●,93100172B,X,●,X,●,WMF004754,X,●,X,A32274,X,X,NOM138,10277,X,●,X,●,●,X,●,X,32111,X,X,X
野村策略轉機多重資產,前收月配,美元,●,93100172G,X,●,X,●,WMF004758,X,●,X,A32276,X,X,NOM140,10279,X,●,X,●,●,X,●,X,32113,X,X,X
野村策略轉機多重資產,前收月配,人民幣,●,93100172J,X,●,X,●,●,X,●,X,A32277,X,X,NOM141,10280,X,●,X,●,●,X,●,X,32114,X,X,X
野村策略轉機多重資產,後收累積,新臺幣,●,93100172C,X,●,X,●,WMF004755,X,●,X,●,X,X,●,10281,X,●,X,●,●,X,●,X,●,X,X,X
野村策略轉機多重資產,後收累積,美元,●,93100172H,X,●,X,●,WMF004759,X,●,X,●,X,X,●,10283,X,●,X,●,●,X,●,X,●,X,X,X
野村策略轉機多重資產,後收月配,新臺幣,●,93100172D,X,●,X,●,WMF004756,X,●,X,●,X,X,●,10282,X,●,X,●,●,X,●,X,●,X,X,X
野村策略轉機多重資產,後收月配,美元,●,93100172I,X,●,X,●,WMF004760,X,●,X,●,X,X,●,10284,X,●,X,●,●,X,●,X,●,X,X,X
野村策略轉機多重資產,後收月配,人民幣,●,●,X,●,X,●,●,X,●,X,●,X,X,●,10285,X,●,X,●,●,X,●,X,●,X,X,X
野村全球科技多重資產,前收累積,新臺幣,●,00505743A,X, 140119,X,●,WMF004911,X,●,X,A32289,X,X,NOM144,10286,X,A080055A,X,●,DM120117,X,●,X,32115,X,X,X
野村全球科技多重資產,前收累積,美元,●,00505743F,X, 140121,X,●,WMF004915,X,●,X,A32291,X,X,NOM146,10288,X,A080055F,X,●,DM120119,X,●,X,32117,X,X,X
野村全球科技多重資產,前收月配,新臺幣,●,00505743B,X, 140120,X,●,WMF004912,X,●,X,A32290,X,X,NOM145,10287,X,A080055B,X,●,DM120118,X,●,X,32116,X,X,X
野村全球科技多重資產,前收月配,美元,●,00505743G,X, 140122,X,●,WMF004916,X,●,X,A32292,X,X,NOM147,10289,X,A080055G,X,●,DM120120,X,●,X,32118,X,X,X
野村全球科技多重資產,前收月配,人民幣,●,00505743J,X, 140123,X,●,●,X,●,X,A32293,X,X,NOM148,10290,X,A080055J,X,●,DM120121,X,●,X,32119,X,X,X
野村全球科技多重資產,前收月配,日幣,●,00505743L,X, 140124,X,●,WMF004919,X,●,X,A32294,X,X,NOM149,●,X,A080055L,X,●,DM120122,X,●,X,32120,X,X,X
野村全球科技多重資產,後收累積,新臺幣,●,00505743C,X, 42N001,X,●,WMF004913,X,●,X,●,X,X,●,10291,X,A08B009C,X,●,DM620030,X,●,X,●,X,X,X
野村全球科技多重資產,後收累積,美元,●,00505743H,X, 42N003,X,●,WMF004917,X,●,X,●,X,X,●,10293,X,A08B009H,X,●,DM620032,X,●,X,●,X,X,X
野村全球科技多重資產,後收月配,新臺幣,●,00505743D,X, 42N002,X,●,WMF004914,X,●,X,●,X,X,●,10292,X,A08B009D,X,●,DM620031,X,●,X,●,X,X,X
野村全球科技多重資產,後收月配,美元,●,00505743I,X, 42N004,X,●,WMF004918,X,●,X,●,X,X,●,10294,X,A08B009I,X,●,DM620033,X,●,X,●,X,X,X
野村全球科技多重資產,後收月配,人民幣,●,00505743K,X, 42N005,X,●,●,X,●,X,●,X,X,●,10295,X,A08B009K,X,●,DM620034,X,●,X,●,X,X,X
野村全球科技多重資產,後收月配,日幣,●,00505743M,X, 42N006,X,●,WMF004920,X,●,X,●,X,X,●,●,X,A08B009M,X,●,DM620035,X,●,X,●,X,X,X
野村全天候組合,前收累積,新臺幣,●,00528529A,X, 140125,X,X,WMF004973,X,●,X,A32303,X,X,X,●,X,●,X,X,●,X,FD07108,X,●,X,X,X
